# t_ms,heading_deg,roll_deg,pitch_deg
101,92.063,-5.750,-0.125
201,92.063,-5.750,-0.125
302,92.063,-5.750,-0.125
402,92.063,-5.750,-0.125
503,92.063,-5.750,-0.125
603,92.063,-5.750,-0.125
704,92.063,-5.750,-0.125
804,92.000,-5.625,0.000
905,92.000,-5.563,0.000
1005,92.000,-5.563,0.063
1106,92.000,-5.563,0.063
1207,92.000,-5.563,0.063
1307,92.000,-5.563,0.063
1408,92.000,-5.563,0.063
1508,92.000,-5.563,0.063
1609,92.000,-5.563,0.063
1710,91.813,-5.750,0.125
1811,89.250,-7.000,1.188
1911,85.813,-9.188,-2.500
2012,86.250,-4.063,0.750
2112,86.313,3.688,-1.063
2213,85.438,12.750,-1.500
2313,85.313,20.563,-1.250
2413,83.188,27.063,0.563
2513,80.813,26.625,0.813
2613,78.688,18.875,-1.625
2713,78.438,11.750,-6.750
2814,77.625,4.188,-10.375
2914,76.688,-3.375,-17.750
3015,76.563,-7.063,-27.750
3116,76.688,-8.500,-34.438
3216,77.125,-8.250,-30.875
3316,77.500,-7.188,-19.938
3416,79.188,-5.000,-13.688
3517,79.500,-4.875,-12.563
3618,78.500,-6.688,-17.938
3718,77.313,-8.875,-28.625
3818,76.750,-8.750,-39.438
3919,274.375,-6.375,-47.625
4020,264.000,-2.188,-51.000
4120,254.688,2.250,-54.063
4221,244.813,6.750,-53.313
4321,228.938,12.063,-46.875
4421,80.625,16.563,-36.875
4522,78.125,21.500,-26.125
4622,76.125,27.438,-13.063
4723,73.938,31.750,-0.188
4823,72.188,33.500,11.375
4923,70.188,34.313,22.813
5023,67.313,32.875,33.375
5123,63.875,31.000,40.188
5223,60.313,27.375,47.688
5324,56.500,23.188,49.063
5425,53.375,17.438,42.875
5525,52.688,10.375,34.750
5626,54.438,3.625,24.750
5726,56.375,-3.313,11.500
5826,58.063,-8.875,-3.688
5927,61.188,-11.063,-17.813
6028,64.250,-12.625,-32.875
6129,283.000,-14.000,-49.063
6230,282.688,-16.375,-68.750
6330,280.188,-17.313,-84.625
6430,278.063,-16.375,-83.938
6531,278.188,-16.625,-81.000
6632,277.313,-15.500,-77.875
6732,274.688,-11.438,-60.063
6832,72.125,-5.125,-36.938
6933,75.313,-0.938,-18.688
7034,77.188,-0.438,-10.188
7134,77.375,-1.188,-10.625
7235,76.750,-2.813,-11.625
7335,76.750,-3.375,-11.625
7436,76.500,-2.188,-10.063
7537,76.375,-0.500,-8.500
7638,76.563,1.000,-7.500
7739,79.063,0.938,-7.938
7840,84.500,-0.813,-9.875
7940,87.000,-2.125,-12.000
8041,89.313,-2.625,-15.000
8141,92.563,-3.125,-16.438
8241,95.125,-4.063,-16.438
8342,96.063,-5.063,-16.563
8443,95.438,-4.063,-12.750
8543,93.938,-3.188,-11.438
8643,93.063,-2.438,-12.063
8744,91.563,-5.188,-20.625
8844,91.063,-3.375,-22.063
8945,92.125,-3.313,-22.813
9045,93.438,-3.375,-21.688
9145,93.250,-3.375,-21.625
9246,93.438,-3.000,-20.313
9347,93.500,-2.750,-19.438
9447,93.625,-2.563,-18.688
9547,93.750,-2.375,-18.500
9647,94.625,-2.688,-17.375
9748,96.313,-1.563,-11.313
9849,96.938,-1.000,-8.688
9949,96.938,-0.938,-8.500
10049,96.750,-0.938,-8.313
10149,96.313,-1.125,-9.000
10249,95.188,-2.063,-12.125
10350,93.750,-4.500,-16.250
10450,93.125,-6.500,-18.875
10550,93.750,-6.500,-17.250
10650,93.625,-5.500,-18.813
10751,93.813,-5.500,-22.125
10852,94.625,-4.000,-21.563
10952,94.625,-3.250,-18.250
11052,93.750,-2.563,-17.063
11153,93.500,-4.375,-15.125
11254,93.313,-3.938,-11.375
11354,92.875,-3.688,-4.688
11454,91.313,-3.313,-3.375
11555,90.125,-3.313,-3.688
11655,90.125,-3.750,-3.938
11756,90.125,-3.375,-3.500
11856,90.313,-3.125,-2.313
11957,90.125,-3.813,0.625
12058,89.438,-4.563,1.875
12159,88.375,-5.500,3.000
12260,88.500,-6.250,0.938
12360,91.813,-5.125,-4.875
12461,95.875,-3.500,-9.188
12561,98.188,-4.250,-13.188
12662,99.000,-4.688,-15.750
12763,99.750,-3.750,-10.250
12863,99.938,-2.625,-7.125
12964,99.188,-1.938,-4.813
13064,97.813,0.188,-8.125
13165,97.750,1.563,-4.875
13266,97.688,1.563,-4.813
13366,97.688,1.500,-4.813
13467,97.688,1.500,-4.813
13568,97.688,1.500,-4.813
13669,97.688,1.500,-4.813
13769,97.688,1.500,-4.813
13869,97.688,1.500,-4.750
13969,97.688,1.500,-4.750
14070,97.688,1.500,-4.750
14171,97.688,1.500,-4.750
14271,97.688,1.500,-4.750
14371,97.688,1.500,-4.750
14472,97.688,1.500,-4.750
14572,97.688,1.500,-4.750
14673,97.688,1.500,-4.750
14773,97.688,1.500,-4.750
14873,97.688,1.500,-4.750
14974,97.688,1.500,-4.750
15074,97.688,1.500,-4.750
15174,97.688,1.500,-4.750
15275,97.688,1.500,-4.750
15376,97.688,1.500,-4.750
15477,97.688,1.500,-4.750
15578,97.688,1.500,-4.750
15679,97.688,1.500,-4.750
15780,97.688,1.500,-4.750
15881,97.688,1.500,-4.750
15981,97.688,1.500,-4.750
16081,97.688,1.500,-4.750
16182,97.688,1.500,-4.750
16283,97.688,1.500,-4.750
16383,97.688,1.500,-4.750
16485,97.688,1.500,-4.750
16586,97.688,1.500,-4.750
16687,97.688,1.500,-4.750
16787,97.688,1.500,-4.750
16887,97.688,1.500,-4.750
16987,97.688,1.500,-4.750
17088,97.688,1.500,-4.750
17188,97.688,1.500,-4.750
17289,97.688,1.500,-4.750
17389,97.688,1.500,-4.750
17490,97.688,1.500,-4.750
